Cohort,Strategy,Step,Model,Threshold,N,TP,TN,FP,FN,Sensitivity,Sensitivity_CI_Lower,Sensitivity_CI_Upper,Specificity,Specificity_CI_Lower,Specificity_CI_Upper,PPV,PPV_CI_Lower,PPV_CI_Upper,NPV,NPV_CI_Lower,NPV_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Prevalence,Positive_Rate
InternalTest,stepwise1 (M4->M1),Step1,M4 (Clinical-A),0.4208080808080808,51,15,21,8,7,0.6818181818181818,0.47318597741042745,0.8363940681864375,0.7241379310344828,0.5428286758313405,0.8530124489791204,0.6521739130434783,0.44890335377263,0.8118872406120227,0.75,0.5664432968100104,0.8732350508070668,0.7058823529411765,0.5700092442431359,0.8129127357986454,0.43137254901960786,0.45098039215686275
InternalTest,stepwise2 (M5->M1),Step1,M5 (Clinical-Net),0.4356565656565656,51,17,16,13,5,0.7727272727272727,0.5656004682477829,0.8987696001475147,0.5517241379310345,0.37547963210970914,0.7158683197696281,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.6470588235294118,0.5098605845450523,0.7636551154847915,0.43137254901960786,0.5882352941176471
InternalTest,stepwise3 (M5->M2),Step1,M5 (Clinical-Net),0.4356565656565656,51,17,16,13,5,0.7727272727272727,0.5656004682477829,0.8987696001475147,0.5517241379310345,0.37547963210970914,0.7158683197696281,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.6470588235294118,0.5098605845450523,0.7636551154847915,0.43137254901960786,0.5882352941176471
InternalTest,stepwise4 (M4->M3),Step1,M4 (Clinical-A),0.4208080808080808,51,15,21,8,7,0.6818181818181818,0.47318597741042745,0.8363940681864375,0.7241379310344828,0.5428286758313405,0.8530124489791204,0.6521739130434783,0.44890335377263,0.8118872406120227,0.75,0.5664432968100104,0.8732350508070668,0.7058823529411765,0.5700092442431359,0.8129127357986454,0.43137254901960786,0.45098039215686275
InternalTest,stepwise5 (M5->M3),Step1,M5 (Clinical-Net),0.4356565656565656,51,17,16,13,5,0.7727272727272727,0.5656004682477829,0.8987696001475147,0.5517241379310345,0.37547963210970914,0.7158683197696281,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.6470588235294118,0.5098605845450523,0.7636551154847915,0.43137254901960786,0.5882352941176471
ProspectiveTest,stepwise1 (M4->M1),Step1,M4 (Clinical-A),0.4208080808080808,100,32,36,25,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5901639344262295,0.46499792273006924,0.7046466256817464,0.5614035087719298,0.43278009454231503,0.6822730310020559,0.8372093023255814,0.7002759410625283,0.91883372652938,0.68,0.5833738138954762,0.7633085267500092,0.39,0.57
ProspectiveTest,stepwise2 (M5->M1),Step1,M5 (Clinical-Net),0.4356565656565656,100,32,34,27,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5573770491803278,0.4330336769314388,0.6749219447851712,0.5423728813559322,0.41657836610103466,0.6629869414814409,0.8292682926829268,0.6873738759959581,0.91474748022405,0.66,0.5627772885472463,0.7453847920265183,0.39,0.59
ProspectiveTest,stepwise3 (M5->M2),Step1,M5 (Clinical-Net),0.4356565656565656,100,32,34,27,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5573770491803278,0.4330336769314388,0.6749219447851712,0.5423728813559322,0.41657836610103466,0.6629869414814409,0.8292682926829268,0.6873738759959581,0.91474748022405,0.66,0.5627772885472463,0.7453847920265183,0.39,0.59
ProspectiveTest,stepwise4 (M4->M3),Step1,M4 (Clinical-A),0.4208080808080808,100,32,36,25,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5901639344262295,0.46499792273006924,0.7046466256817464,0.5614035087719298,0.43278009454231503,0.6822730310020559,0.8372093023255814,0.7002759410625283,0.91883372652938,0.68,0.5833738138954762,0.7633085267500092,0.39,0.57
ProspectiveTest,stepwise5 (M5->M3),Step1,M5 (Clinical-Net),0.4356565656565656,100,32,34,27,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5573770491803278,0.4330336769314388,0.6749219447851712,0.5423728813559322,0.41657836610103466,0.6629869414814409,0.8292682926829268,0.6873738759959581,0.91474748022405,0.66,0.5627772885472463,0.7453847920265183,0.39,0.59
