Cohort,Strategy,Step,Model,Threshold,N_Evaluated,N,TP,TN,FP,FN,Sensitivity,Sensitivity_CI_Lower,Sensitivity_CI_Upper,Specificity,Specificity_CI_Lower,Specificity_CI_Upper,PPV,PPV_CI_Lower,PPV_CI_Upper,NPV,NPV_CI_Lower,NPV_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Prevalence,Positive_Rate
InternalTest,stepwise1 (M4->M1),Step2,M1 (Radiomics-Only),0.0396969696969696,23,23,12,6,2,3,0.8,0.5481455128483065,0.9295245065301844,0.75,0.40927543031016883,0.9285207872478909,0.8571428571428571,0.6005862050302965,0.9599060787285351,0.6666666666666666,0.3542021355803963,0.879416181613089,0.782608695652174,0.5809651698373599,0.9033602197341379,0.6521739130434783,0.6086956521739131
InternalTest,stepwise2 (M5->M1),Step2,M1 (Radiomics-Only),0.0396969696969696,30,30,14,9,4,3,0.8235294117647058,0.5897054143116588,0.9380887336237901,0.6923076923076923,0.42369343180549035,0.8731929634428948,0.7777777777777778,0.5478541568378739,0.9099907189139831,0.75,0.46769466506643426,0.9110583316059453,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.5666666666666667,0.6
InternalTest,stepwise3 (M5->M2),Step2,M2 (Radiomics+A),0.8514141414141414,30,30,14,10,3,3,0.8235294117647058,0.5897054143116588,0.9380887336237901,0.7692307692307693,0.49743624053272495,0.9182047128150143,0.8235294117647058,0.5897054143116588,0.9380887336237901,0.7692307692307693,0.49743624053272495,0.9182047128150143,0.8,0.6269430358685175,0.9049489282271013,0.5666666666666667,0.5666666666666667
InternalTest,stepwise4 (M4->M3),Step2,M3 (Fusion-Net),0.594040404040404,23,23,14,4,4,1,0.9333333333333333,0.7018347012621998,0.9881331045067315,0.5,0.21521606221387757,0.7847839377861224,0.7777777777777778,0.5478541568378739,0.9099907189139831,0.8,0.37553462976252533,0.9637758913675698,0.782608695652174,0.5809651698373599,0.9033602197341379,0.6521739130434783,0.782608695652174
InternalTest,stepwise5 (M5->M3),Step2,M3 (Fusion-Net),0.594040404040404,30,30,15,10,3,2,0.8823529411764706,0.6566364940511412,0.9671202262362074,0.7692307692307693,0.49743624053272495,0.9182047128150143,0.8333333333333334,0.6077796189608428,0.9416342319413856,0.8333333333333334,0.5519691377470266,0.9530348578161463,0.8333333333333334,0.6643564949358397,0.9266345762815146,0.5666666666666667,0.6
ProspectiveTest,stepwise1 (M4->M1),Step2,M1 (Radiomics-Only),0.0396969696969696,57,57,25,17,8,7,0.78125,0.6124500635075647,0.8897616374739581,0.68,0.48410269273102247,0.8279480969309202,0.7575757575757576,0.5897538017044264,0.8716828662282499,0.7083333333333334,0.5083230633550337,0.8508535180303913,0.7368421052631579,0.6102342073651618,0.8335421340202692,0.5614035087719298,0.5789473684210527
ProspectiveTest,stepwise2 (M5->M1),Step2,M1 (Radiomics-Only),0.0396969696969696,59,59,26,20,7,6,0.8125,0.6469084479862404,0.9111045531043405,0.7407407407407407,0.5532142868544692,0.8682962543809281,0.7878787878787878,0.6224835500784931,0.8932397846697919,0.7692307692307693,0.5794844592105632,0.8896615059421671,0.7796610169491526,0.6586730063236291,0.8664580237207097,0.5423728813559322,0.559322033898305
ProspectiveTest,stepwise3 (M5->M2),Step2,M2 (Radiomics+A),0.8514141414141414,59,59,25,22,5,7,0.78125,0.6124500635075647,0.8897616374739581,0.8148148148148148,0.6330131638145156,0.9181929285702346,0.8333333333333334,0.6643564949358397,0.9266345762815146,0.7586206896551724,0.5789239838218867,0.8778157755747991,0.7966101694915254,0.6773198772795009,0.879637275797828,0.5423728813559322,0.5084745762711864
ProspectiveTest,stepwise4 (M4->M3),Step2,M3 (Fusion-Net),0.594040404040404,57,57,27,16,9,5,0.84375,0.682458504024696,0.9313557971749429,0.64,0.44518497748164865,0.7975211922554178,0.75,0.5892954623327166,0.8624952233700517,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.7543859649122807,0.628977037672441,0.847671625297096,0.5614035087719298,0.631578947368421
ProspectiveTest,stepwise5 (M5->M3),Step2,M3 (Fusion-Net),0.594040404040404,59,59,27,18,9,5,0.84375,0.682458504024696,0.9313557971749429,0.6666666666666666,0.47824760507320074,0.8135673850128435,0.75,0.5892954623327166,0.8624952233700517,0.782608695652174,0.5809651698373599,0.9033602197341379,0.7627118644067796,0.6402510929359725,0.853053814075376,0.5423728813559322,0.6101694915254238
